Data;Rs;u2;Tmax;Tmin;RH;pr;ETo
2013-03-22;16.7;0.7;28.9;20.3;79.3;2.6;3.4
2013-03-23;16.6;0.6;31.0;19.3;80.7;0.7;3.5
2013-03-24;12.6;0.9;29.5;19.3;78.1;13.1;2.9
2013-03-25;9.7;0.9;26.0;18.9;84.9;3.6;2.2
2013-03-26;14.6;0.5;27.0;19.0;82.2;0.8;2.9
2013-03-27;9.6;0.4;27.9;19.8;87.9;16.0;2.1
2013-03-28;5.9;0.5;26.7;19.8;88.4;16.6;1.5
2013-03-29;15.6;1.0;26.2;17.2;75.1;8.1;3.1
2013-03-30;10.6;1.6;25.7;18.4;82.3;4.2;2.4
2013-03-31;9.1;1.1;24.8;19.2;84.9;0.2;2.1
2013-04-01;19.8;0.8;28.3;17.1;76.4;0.2;3.7
2013-04-02;19.7;1.3;30.9;17.7;73.3;1.9;4.1
2013-04-03;16.2;0.6;29.7;19.1;76.2;2.5;3.3
2013-04-04;17.3;0.9;29.2;18.7;76.2;1.3;3.5
2013-04-05;7.8;0.6;27.7;19.8;85.4;3.5;1.9
2013-04-06;17.0;0.4;28.8;18.7;83.1;29.4;3.3
2013-04-07;17.4;0.6;31.0;18.6;76.8;6.1;3.5
2013-04-08;14.4;0.6;30.8;18.4;82.8;1.9;3.0
2013-04-09;16.7;1.1;30.2;18.5;81.4;6.4;3.4
2013-04-10;7.3;1.3;26.5;19.5;88.1;6.3;1.8
2013-04-11;8.1;1.4;23.8;19.4;85.9;7.6;1.9
2013-04-12;13.6;1.0;26.0;18.8;82.4;5.0;2.7
2013-04-13;9.8;0.5;28.0;20.0;87.2;0.1;2.1
2013-04-14;11.4;0.3;26.7;18.2;84.6;13.9;2.3
2013-04-15;14.8;0.4;27.3;19.0;80.2;0.0;2.8
2013-04-16;18.9;0.6;29.0;16.9;76.1;0.1;3.5
2013-04-17;22.9;0.5;29.7;12.1;65.8;0.0;3.8
2013-04-18;18.6;1.1;29.0;14.1;72.2;0.0;3.6
2013-04-19;17.5;0.7;28.9;14.8;71.2;0.0;3.3
2013-04-20;17.6;1.2;28.2;14.4;69.1;0.0;3.4
2013-04-21;16.4;1.1;26.0;12.5;66.5;0.0;3.1
2013-04-22;14.7;1.1;25.5;12.3;70.1;0.0;2.8
2013-04-23;20.2;1.5;25.9;12.4;65.8;0.0;3.7
2013-04-24;19.3;1.3;26.6;12.9;69.2;0.0;3.5
2013-04-25;16.7;1.1;26.4;11.7;70.0;0.0;3.1
2013-04-26;17.8;1.1;26.2;10.8;67.9;0.0;3.2
2013-04-27;21.3;0.8;27.2;10.3;65.2;0.0;3.4
2013-04-28;20.4;0.9;27.4;10.8;68.3;0.0;3.4
2013-04-29;19.4;0.8;27.2;11.2;67.8;0.0;3.2
2013-04-30;20.8;0.4;28.8;10.5;68.7;0.0;3.2
2013-05-01;19.0;0.6;30.3;12.5;67.3;0.0;3.3
2013-05-02;19.5;0.9;29.9;13.5;68.4;0.0;3.5
2013-05-03;20.7;0.6;29.2;11.8;67.8;0.0;3.4
2013-05-04;20.3;0.4;30.0;11.0;64.9;0.0;3.2
2013-05-05;20.2;0.4;30.2;10.5;60.5;0.0;3.2
2013-05-06;19.0;0.5;30.4;11.6;63.8;0.0;3.2
